set,encounter,left_image,right_image
Murder at the Excelsior Hotel,Alien Interference,\Murder at the Excelsior Hotel\Alien Interference.png,\Murder at the Excelsior Hotel\_set.png
Murder at the Excelsior Hotel,Dark Rituals,\Murder at the Excelsior Hotel\Dark Rituals.png,\Murder at the Excelsior Hotel\_set.png
Murder at the Excelsior Hotel,Excelsior Management,\Murder at the Excelsior Hotel\Excelsior Management.png,\Murder at the Excelsior Hotel\_set.png
Murder at the Excelsior Hotel,Murder at the Excelsior Hotel,\Murder at the Excelsior Hotel\Murder at the Excelsior Hotel.png,\Murder at the Excelsior Hotel\_set.png
Murder at the Excelsior Hotel,Sins of the Past,\Murder at the Excelsior Hotel\Sins of the Past.png,\Murder at the Excelsior Hotel\_set.png
Murder at the Excelsior Hotel,Vile Experiments,\Murder at the Excelsior Hotel\Vile Experiments.png,\Murder at the Excelsior Hotel\_set.png
